Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-01-05,"Three Pines",5.3,"first trad follow",https://www.mountainproject.com/route/105799108/three-pines,3,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",3.1,-1,Follow,,Trad,,160,1300
2024-09-01,Horseman,5.5,,https://www.mountainproject.com/route/105799721/horseman,2,"New York > The Gunks > The Trapps > a1. The Uberfall - left",3.5,-1,Follow,,Trad,,120,1500
2024-09-01,Jackie,5.5,,https://www.mountainproject.com/route/105812940/jackie,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.1,-1,Follow,,Trad,,160,1500
2024-09-01,Gelsa,5.4,,https://www.mountainproject.com/route/105799482/gelsa,3,"New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa",3.5,-1,Follow,,Trad,,195,1400
2024-08-25,"Three Pines",5.3,"First Gunks climb",https://www.mountainproject.com/route/105799108/three-pines,2,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",3.1,-1,Follow,,Trad,,160,1300
2024-08-25,Betty,5.3,,https://www.mountainproject.com/route/105920873/betty,1,"New York > The Gunks > The Trapps > b. Jackie and friends",3.0,-1,Follow,,Trad,,150,1300
2024-08-25,Dennis,5.5,,https://www.mountainproject.com/route/105968655/dennis,2,"New York > The Gunks > The Trapps > b. Jackie and friends",2.5,-1,Follow,,Trad,,120,1500
